Player Name,Session Date,Drill Name,Session Time(mins),Total Distance,Metres Per Minute,Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,HSR per min,Average Speed,Maximum Speed,Number of Sprints,Number of Accelerations,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Number of Decelerations,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 4,Decelerations Zone 5,Decelerations Zone 6,HML Distance,HML Distance Per Minute,Average Step Impact Left (g),Average Step Impact Right (g),Step Balance,HML Efforts,Explosive Distance
Militao,2022-09-07,Warm Up,15.56,750.0,48.25,295.0,197.0,86.0,98.0,74.0,0.0,4.76,0.8,6.96,7,11,32,24,9,2,7,2,15,27,24,6,11,1,3,162.0,10.41,245.0,5.0,0.57,16.0,88
Alaba,2022-09-07,Warm Up,15.56,807.0,51.91,273.0,277.0,77.0,115.0,64.0,1.0,4.24,0.87,7.05,6,10,38,20,8,8,2,0,7,36,31,8,5,0,2,158.0,10.19,398.0,3.0,0.56,17.0,93
Vallejo,2022-09-07,Warm Up,15.56,702.0,45.11,252.0,199.0,85.0,103.0,59.0,3.0,3.97,0.75,7.19,6,12,28,32,10,9,3,0,12,35,35,6,8,2,2,164.0,10.53,482.0,3.0,0.58,16.0,102
Nacho,2022-09-07,Warm Up,15.56,681.0,43.76,293.0,182.0,78.0,80.0,47.0,0.0,3.05,0.73,6.71,5,11,37,21,9,6,3,2,6,29,32,7,4,2,0,133.0,8.57,184.0,3.0,0.5,13.0,86
Kroos,2022-09-07,Warm Up,15.56,742.0,47.69,254.0,297.0,91.0,64.0,32.0,4.0,2.28,0.79,7.66,3,15,31,28,4,7,7,1,9,19,31,8,3,3,3,123.0,7.88,327.0,3.0,0.47,16.0,87
Isco,2022-09-09,Warm Up,13.79,781.0,56.61,168.0,202.0,180.0,150.0,74.0,6.0,5.81,0.94,7.29,6,13,27,23,8,10,3,0,12,29,22,7,7,2,3,203.0,14.71,394.0,4.0,0.73,21.0,123
Modric,2022-09-09,Warm Up,13.79,950.0,68.86,345.0,352.0,101.0,106.0,45.0,0.0,3.24,1.15,6.79,4,11,40,46,9,7,3,1,9,42,43,8,8,1,0,157.0,11.36,654.0,1.0,0.6,20.0,112
Asensio,2022-09-09,Warm Up,13.79,987.0,71.58,273.0,417.0,107.0,134.0,54.0,3.0,4.14,1.19,7.22,6,14,50,44,10,7,6,1,6,35,75,7,2,2,2,170.0,12.33,476.0,3.0,0.64,19.0,113
Camavinga,2022-09-09,Warm Up,13.79,1012.0,73.36,331.0,362.0,127.0,109.0,73.0,9.0,5.97,1.22,7.65,5,12,46,39,11,8,4,0,6,45,43,10,3,2,1,170.0,12.31,368.0,2.0,0.6,17.0,87
Marcelo,2022-09-09,Warm Up,13.79,970.0,70.3,368.0,383.0,105.0,84.0,29.0,1.0,2.18,1.17,7.29,4,10,59,34,9,9,1,0,7,56,46,6,5,0,2,131.0,9.47,514.0,1.0,0.5,12.0,101
Vasquez,2022-09-09,Warm Up,13.79,939.0,68.07,273.0,328.0,174.0,79.0,68.0,16.0,6.1,1.13,7.9,6,13,47,31,13,10,3,0,6,31,45,11,3,2,1,169.0,12.23,632.0,2.0,0.62,16.0,84
Carvajal,2022-09-09,Warm Up,13.79,933.0,67.67,281.0,397.0,121.0,61.0,72.0,1.0,5.32,1.13,7.07,5,7,36,38,8,6,1,0,4,45,38,5,3,1,0,142.0,10.28,601.0,0.0,0.5,15.0,68
Alaba,2022-09-09,Warm Up,13.79,1042.0,75.53,324.0,380.0,129.0,159.0,49.0,0.0,3.58,1.26,6.58,4,10,55,57,13,7,2,1,7,52,64,14,4,3,0,189.0,13.72,444.0,4.0,0.73,19.0,140
Vallejo,2022-09-09,Warm Up,13.79,1001.0,72.56,283.0,406.0,103.0,136.0,57.0,16.0,5.28,1.21,8.07,6,13,30,47,10,6,6,1,8,47,47,12,4,3,1,184.0,13.36,715.0,5.0,0.68,17.0,111
Nacho,2022-09-09,Warm Up,13.79,912.0,66.16,303.0,368.0,121.0,99.0,20.0,0.0,1.48,1.1,6.7,2,8,42,36,14,6,2,0,4,44,47,12,4,0,0,137.0,9.96,280.0,0.0,0.56,17.0,117
Isco,2022-09-14,Warm Up,10.4,995.0,95.6,221.0,520.0,133.0,59.0,60.0,0.0,5.76,1.59,6.99,6,8,42,24,4,4,4,0,3,38,35,5,2,1,0,101.0,9.73,507.0,1.0,0.34,8.0,41
Modric,2022-09-14,Warm Up,10.4,863.0,82.9,301.0,410.0,62.0,61.0,28.0,0.0,2.73,1.38,6.35,4,0,36,22,10,0,0,0,6,34,32,5,3,2,1,97.0,9.32,379.0,1.0,0.36,8.0,69
Asensio,2022-09-14,Warm Up,10.4,970.0,93.18,246.0,516.0,129.0,39.0,39.0,0.0,3.77,1.55,6.78,5,3,36,28,6,1,2,0,4,37,40,2,3,1,0,84.0,8.08,407.0,1.0,0.3,8.0,45
Marcelo,2022-09-14,Warm Up,10.4,926.0,89.02,276.0,525.0,42.0,43.0,40.0,0.0,3.88,1.48,6.49,5,1,33,31,9,1,0,0,2,27,39,7,2,0,0,77.0,7.36,272.0,1.0,0.27,7.0,36
Casemiro,2022-09-14,Warm Up,10.4,981.0,94.3,282.0,518.0,81.0,35.0,60.0,4.0,6.22,1.57,7.2,5,3,29,49,4,3,0,0,7,37,45,7,3,1,3,102.0,9.76,276.0,1.0,0.32,7.0,37
